###FILE ALREADY PARSED###
BPM 0 120
1253 0 1
1411 0 1
1568-1884 0 3
1568-1884 0 5
1884 0 1
2042 0 1
2200-2516 0 3
2200-2516 0 6
2516 0 1
2674 0 1
2832-3147 0 3
2832-3147 0 5
3147 0 1
3305 0 1
3463-3779 0 3
3463-3779 0 4
3779 0 1
3937 0 1
4095-4411 0 3
4095-4411 0 5
4411 0 1
4568 0 1
4726-5042 0 3
4726-5042 0 6
5042-5674 0 4
5042-5674 0 7
5674-6305 0 1
5674-6305 0 5
6305-6937 0 3
6305-6937 0 6
6937-7568 0 1
6937-7568 0 2
7568 0 2
7726 0 2
7884 0 4
8042 0 6
8121 0 5
8200 0 2
8358 0 2
8595 0 4
8674 0 5
8753 0 4
8832 0 2
8990 0 2
9147 0 4
9305 0 6
9384 0 5
9463 0 2
9621 0 2
9858 0 4
9937 0 5
10016 0 4
10095 0 2
10253 0 2
10411 0 4
10568 0 6
10647 0 5
10726 0 2
10884 0 2
11121 0 4
11200 0 5
11279 0 4
11358 0 2
11516 0 2
11674 0 4
11832 0 6
11911 0 5
11990 0 2
12147 0 2
12384 0 4
12463 0 5
12542 0 4
12621 0 1
12621 0 2
12779 0 2
12937 0 1
12937 0 4
13095 0 6
13174 0 5
13253 0 1
13253 0 2
13411 0 2
13568 0 1
13647 0 4
13726 0 5
13805 0 4
13884 0 1
13884 0 2
14042 0 2
14200 0 1
14200 0 4
14358 0 6
14437 0 5
14516 0 1
14516 0 2
14674 0 1
14674 0 2
14832 0 1
14911 0 4
14990 0 5
15068 0 4
15147 0 1
15147 0 2
15305 0 2
15463 0 1
15463 0 4
15621 0 6
15700 0 5
15779 0 1
15779 0 2
15937 0 2
16095 0 1
16174 0 4
16253 0 5
16332 0 4
16411 0 1
16411 0 2
16568 0 2
16726 0 1
16726 0 4
16884 0 1
16884 0 6
16963 0 5
17042 0 1
17042 0 2
17200 0 2
17358 0 1
17437 0 4
17516 0 5
17595 0 4
17674 0 1
17674 0 2
17832 0 2
17832-17990 0 7
17990 0 1
17990 0 4
18147 0 6
18147-18305 0 7
18226 0 5
18305 0 1
18305 0 2
18463 0 2
18463-18621 0 7
18621 0 1
18700 0 4
18779 0 5
18779-18937 0 7
18858 0 4
18937 0 1
18937 0 2
19095 0 2
19095-19253 0 7
19253 0 1
19253 0 4
19411 0 6
19411-19568 0 7
19490 0 5
19568 0 1
19568 0 2
19726 0 1
19726 0 2
19726-19884 0 7
19884 0 1
19963 0 4
20042 0 5
20042 0 7
20121 0 4
20200 0 1
20200 0 2
20200 0 7
20358 0 2
20358-20516 0 7
20516 0 1
20516 0 4
20674 0 6
20674-20832 0 7
20753 0 5
20832 0 1
20832 0 2
20990 0 2
20990-21147 0 7
21147 0 1
21226 0 4
21305 0 5
21305-21463 0 7
21384 0 4
21463 0 1
21463 0 2
21621 0 2
21621-21779 0 7
21779 0 1
21779 0 4
21937 0 1
21937 0 6
21937-22095 0 7
22016 0 5
22095 0 1
22095 0 2
22253 0 2
22253-22411 0 7
22411 0 1
